"index","track_id","artists","album_name","track_name","popularity","duration_ms","explicit","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","supergenre_id","supergenre_dummy","danceability"
7,"1EzrEOXmMH3G43AXT1y7pA","Jason Mraz","We Sing. We Dance. We Steal Things.","I'm Yours",80,242946,FALSE,0.444,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4,5,"singer_early_pop",0.56
13,"0X9MxHR1rTkEHDjp95F2OO","Anna Hamilton","Bad Liar","Bad Liar",62,248448,FALSE,0.234,-6.441,1,0.0285,0.777,0,0.12,0.209,87.103,4,5,"singer_early_pop",0.59
16,"6xKeQgzfjixSUld14qUezm","Andrew Foy;Renee Foy","ily (i love you baby)","ily (i love you baby)",56,129750,FALSE,0.112,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,4,5,"singer_early_pop",0.62
19,"6CgNoAbFJ4Q4Id4EjtbXlC","Boyce Avenue;Bea Miller","Cover Sessions, Vol. 4","Photograph",67,260186,FALSE,0.32,-8.393,1,0.0283,0.83,0,0.107,0.322,107.946,4,5,"singer_early_pop",0.91
31,"3ax0rfGb7exLtl02LL08U9","Jason Mraz","Christmas Music - Holiday Hits","Winter Wonderland",0,131760,FALSE,0.309,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,5,"singer_early_pop",0.42
34,"0xbMRcMFqxJq1Wa7tvWPtn","Brandi Carlile;Sam Smith","Feeling Good - Adult Pop Favorites","Party of One",0,259558,FALSE,0.206,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,5,"singer_early_pop",0.93
41,"1WFVfVjCtbmdIv7j3Fa9iy","Brandi Carlile","Mellow Adult Pop","When You're Wrong",0,266960,FALSE,0.301,-10.163,0,0.0373,0.796,3.37e-06,0.118,0.142,88.029,4,5,"singer_early_pop",0.49
47,"0JvkNRyq8Tmot9khpdtN0I","Brandi Carlile;Lucius","Good Times Country","You and Me on the Rock",0,230098,FALSE,0.686,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,5,"singer_early_pop",0.42
50,"72xTsTouZ5nBmASX8k1XCW","Highland Peak","Trampoline (Acoustic)","Trampoline - Acoustic",46,213098,FALSE,0.2,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,107.893,4,5,"singer_early_pop",0.63
69,"0ZwdH0m32I8odedwvspYTh","Tyler Ward","Under Covers","I Don't Wanna Live Forever (Fifty Shades Darker)",44,222351,FALSE,0.403,-11.989,1,0.033,0.603,0.00857,0.131,0.264,118.042,4,5,"singer_early_pop",0.69
70,"16dkWKIlBsfYTISCVuDs0w","Ron Pope","Whatever It Takes","A Drop In the Ocean",55,219480,FALSE,0.573,-6.183,1,0.0298,0.0882,1.14e-06,0.15,0.346,139.966,3,5,"singer_early_pop",0.7
76,"2SkJKMfjpYsNv0KWOxiegX","A Great Big World","When the Morning Comes","Kaleidoscope",62,229320,FALSE,0.913,-5.148,1,0.0748,0.0182,0,0.167,0.519,108.024,4,5,"singer_early_pop",0.61
81,"5IjTZ1g8KrIuV97N3OQZ0V","Gabrielle Aplin","Break Up Songs","The House We Never Built",0,195213,FALSE,0.391,-10.786,0,0.063,0.784,2.72e-06,0.0552,0.202,139.669,4,5,"singer_early_pop",0.7
92,"3Vnes7v746dYzBn0FJTZ1W","KT Tunstall","Alternative Christmas 2022","Fairytale Of New York",0,263866,FALSE,0.555,-6.018,1,0.0349,0.218,3.46e-06,0.124,0.33,117.888,3,5,"singer_early_pop",0.73
104,"068qo0w1Ki0cjnFYOUhAm2","Boyce Avenue","Stand by Me","Stand by Me",60,199019,FALSE,0.266,-7.322,1,0.0293,0.872,1.03e-05,0.114,0.307,115.189,4,5,"singer_early_pop",0.82
106,"59pUIlXjQupbiYwt40uUTi","Mone Kamishiraishi","chouchou","なんでもないや - movie ver.",49,349920,FALSE,0.161,-10.667,1,0.0388,0.971,1.4e-05,0.358,0.325,83.449,4,5,"singer_early_pop",0.8
107,"0VhZ5JYfqPojSYeGWnk4dL","John Adams","You’re Beautiful (Acoustic)","You’re Beautiful - Acoustic",55,204973,FALSE,0.154,-11.282,1,0.0352,0.915,0,0.0974,0.36,147.207,4,5,"singer_early_pop",0.4
136,"2PIlBukQ6limukVR8Ubb5o","Gabrielle Aplin","English Rain","Please Don't Say You Love Me",59,181400,FALSE,0.541,-9.862,1,0.0545,0.737,0,0.108,0.321,85.994,4,5,"singer_early_pop",0.64
151,"34dnNAUoIPcwnK0RtVMBWZ","Tyler Ward;Lindsey Stirling;Kina Grannis","Tyler Ward Covers, Vol. 5","The Scientist",47,276575,FALSE,0.295,-12.881,1,0.0291,0.518,0.00011,0.293,0.14,146.022,4,5,"singer_early_pop",0.55
156,"00DuOxungwHwVUX2m37P0P","Chord Overstreet","What You Need","What You Need",53,181786,FALSE,0.264,-11.171,1,0.0601,0.918,0.000253,0.237,0.192,140.354,4,5,"singer_early_pop",0.58
162,"03yc0G2OoH1Eeyu7Piy8fK","Jason Mraz","I'm Yours","I'm Yours",60,243494,FALSE,0.43,-9.395,1,0.0442,0.565,0,0.0928,0.731,151.001,4,5,"singer_early_pop",0.71
165,"1esE8j1nVyzEQ5rVhYXoJT","Parachute","Parachute","Had It All",55,216853,FALSE,0.54,-6.271,0,0.0339,0.182,0.000144,0.144,0.249,79.952,4,5,"singer_early_pop",0.7
167,"3tjjCCdXSdaVEo4q4y071G","Tobey Rosen","Whole Again (Acoustic Version)","Whole Again - Acoustic Version",52,157231,FALSE,0.145,-9.215,1,0.0336,0.855,0,0.108,0.235,129.832,4,5,"singer_early_pop",0.6
170,"3uAdZpIbMTtVXitHVibLMV","Andrew Foy;Renee Foy","Let Her Go","Let Her Go",38,194013,FALSE,0.291,-13.457,1,0.0388,0.858,0.000846,0.129,0.376,75.153,4,5,"singer_early_pop",0.47
177,"41A82PidFKhGX5hm1WoaDs","JJ Heller","Better","Better",54,215906,FALSE,0.187,-9.003,1,0.0268,0.969,0.000273,0.0922,0.233,104.988,4,5,"singer_early_pop",0.4
178,"5oV8bZaShr2d01FFMHBUPq","Kina Grannis","Iris","Iris",62,181136,FALSE,0.13,-15.571,1,0.0436,0.841,0,0.111,0.179,130.769,3,5,"singer_early_pop",0.74
211,"5eNYumDY5PCXtKKJ0SWg2r","The Civil Wars","Barton Hollow","Poison & Wine",54,219466,FALSE,0.186,-12.729,1,0.0288,0.76,7.3e-05,0.104,0.203,153.848,4,5,"singer_early_pop",0.84
227,"5e9DrLUUZraUE7mmniufjn","Zack Tabudlo","Episode","Heart Can’t Lose",55,240952,FALSE,0.567,-8.971,1,0.0328,0.0318,0,0.133,0.374,125.871,4,5,"singer_early_pop",0.45
231,"2XDxQ3VzovLzh60zgOaNEi","Tim Halperin","Covers","The Reason",53,200800,FALSE,0.207,-8.811,1,0.0289,0.887,0,0.0948,0.209,149.664,4,5,"singer_early_pop",0.61
234,"1U1GtaJeYwGsPgqV9Me5bb","Ray LaMontagne","Trouble","Hold You in My Arms",62,306200,FALSE,0.321,-13.807,1,0.0316,0.149,0.000107,0.147,0.577,170.134,3,5,"singer_early_pop",0.48
